CIK,filing_date,word_count,sentence_count,eps_current_q,eps_previous_q,filing_url
7623,2020-04-14,829274,19241,-0.1,-0.14,https://www.sec.gov/Archives/edgar/data/7623/0001437749-20-007708.txt
7789,2020-05-11,1353588,40393,0.27,0.5,https://www.sec.gov/Archives/edgar/data/7789/0000007789-20-000032.txt
8063,2020-05-07,403208,5553,-2.17,2.35,https://www.sec.gov/Archives/edgar/data/8063/0000008063-20-000026.txt
8146,2020-06-26,285308,3467,0.06,0.23,https://www.sec.gov/Archives/edgar/data/8146/0001193125-20-180473.txt
8177,2020-05-11,235645,2939,-0.4,0.19,https://www.sec.gov/Archives/edgar/data/8177/0001140361-20-011243.txt
8192,2020-05-08,2219653,16271,0.6,0.93,https://www.sec.gov/Archives/edgar/data/8192/0001109357-20-000108.txt
8328,2020-06-29,146262,1932,,,https://www.sec.gov/Archives/edgar/data/8328/0001575872-20-000169.txt
8504,2020-05-14,134338,2695,,,https://www.sec.gov/Archives/edgar/data/8504/0001575705-20-000090.txt
8670,2020-05-01,521320,14603,1.9,1.73,https://www.sec.gov/Archives/edgar/data/8670/0000008670-20-000020.txt
8818,2020-05-01,366428,4781,1.6,-1.74,https://www.sec.gov/Archives/edgar/data/8818/0001104659-20-055617.txt
